OBJECTID,Join_Count,TARGET_FID,adcode,level1,center_lng,center_lat,full_name,short_name,ADMINCODE,TYPE,CITYCODE,cid,Shape_Length,Shape_Area
155,1,155,371200,city,117.676723000000000,36.213813000000002,莱芜市,莱芜,371200,0137,371200,98,256573.483849597540000,2253652389.453410100000000
156,1,156,620100,city,103.834303000000010,36.061089000000003,兰州市,兰州,620121,0137,620100,278,808316.185100207340000,13318367238.804766000000000
157,1,157,131000,city,116.683752000000000,39.538046999999999,廊坊市,廊坊,131082,0137,131000,191,750825.982780561550000,6395667765.961032900000000
158,1,158,469027,city,109.173053999999990,18.750259000000000,乐东黎族自治县,乐东,469033,0137,468400,232,294730.281676900340000,2758648802.439886600000000
159,1,159,511100,city,103.765677999999990,29.552115000000001,乐山市,乐山,511126,0137,511100,40,862376.353107444010000,12813816007.193775000000000
160,1,160,530700,city,100.227750000000000,26.855046999999999,丽江市,丽江,530724,0137,530700,3,1100305.780142348500000,20581426082.001308000000000
161,1,161,320700,city,119.221611000000000,34.596653000000003,连云港市,连云港,320721,0137,320700,176,609478.794115327070000,7396113500.537453700000000
162,1,162,513400,city,102.267712000000000,27.881570000000000,凉山彝族自治州,凉山,513422,0137,513400,42,2290112.316595538100000,60114966334.904633000000000
163,1,163,211000,city,123.236974000000000,41.267794000000002,辽阳市,辽阳,211081,0137,211000,322,437072.962147884890000,4750337516.425858500000000
164,1,164,220400,city,125.143660000000000,42.887765999999999,辽源市,辽源,220421,0137,220400,37,404236.992906518280000,5147450222.333320600000000
165,1,165,371500,city,115.985389000000000,36.456684000000003,聊城市,聊城,371526,0137,371500,97,493737.244235770600000,8654493279.487955100000000
166,1,166,542600,city,94.361490000000003,29.649128000000001,林芝市,林芝,542622,0137,542600,304,2851475.456092265000000,114637418083.443130000000000
167,1,167,530900,city,100.088790000000000,23.883955000000000,临沧市,临沧,530921,0137,530900,2,964451.031948492750000,23626386319.485199000000000
168,1,168,141000,city,111.518975000000000,36.088005000000003,临汾市,临汾,141032,0137,141000,101,957115.735211498570000,20303064208.581619000000000
169,1,169,469024,city,109.690507999999990,19.912025000000000,临高县,临高县,469028,0137,468100,231,232631.718030080260000,1306218476.834410000000000
170,1,170,622900,city,103.210655000000000,35.601351999999999,临夏回族自治州,临夏,622926,0137,622900,277,571997.186252778280000,8054227587.967445400000000
171,1,171,371300,city,118.356414000000000,35.104672999999998,临沂市,临沂,371323,0137,371300,85,924242.764803082800000,17210593381.442982000000000
172,1,172,469028,city,110.037503000000000,18.506048000000000,陵水黎族自治县,陵水,469034,0137,468500,245,262447.213312069300000,1092651281.389653000000000
173,1,173,450200,city,109.428608000000000,24.326291000000001,柳州市,柳州,450226,0137,450200,137,1235931.117253046900000,18588466032.421616000000000
174,1,174,341500,city,116.520139000000000,31.735455999999999,六安市,六安,341521,0137,341500,68,933454.684352125160000,18435234624.582245000000000
175,1,175,520200,city,104.830457999999990,26.592707000000001,六盘水市,六盘水,520221,0137,520200,307,828834.315544171490000,9898847317.469738000000000
176,1,176,350800,city,117.017295000000000,25.075119000000001,龙岩市,龙岩,350821,0137,350800,299,979271.288151523910000,19048770274.680546000000000
177,1,177,621200,city,104.960851000000010,33.370680000000000,陇南市,陇南,621226,0137,621200,290,1358664.071288896000000,27852836367.636585000000000
178,1,178,431300,city,111.994482000000000,27.700270000000000,娄底市,娄底,431322,0137,431300,263,741260.701574526960000,8103494149.064696300000000
179,1,179,510500,city,105.442285000000000,28.871804999999998,泸州市,泸州,510521,0137,510500,51,1034807.151182581000000,12249043674.949095000000000
180,1,180,410300,city,112.453926000000000,34.620201999999999,洛阳市,洛阳,410323,0137,410300,209,801727.520283251300000,15220713675.723167000000000
181,1,181,411100,city,114.016536000000000,33.580872999999997,漯河市,漯河,411122,0137,411100,210,340821.626956625260000,2700405249.765356100000000
